"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"LOC100133077","Unmatched","","","",""
"LOC100133091","Unmatched","","","",""
"LOC100133267","Unmatched","","","",""
"LOC100133286","Unmatched","","","",""
"LOC100133315","Unmatched","","","",""
"LOC100133331","Unmatched","","","",""
"LOC100133461","Unmatched","","","",""
"LOC100133669","Alias symbol","LY6E-DT","LY6E divergent transcript","HGNC:53728","8q24.3"
"LOC100133920","Unmatched","","","",""
"LOC100133985","Alias symbol","LINC01816","long intergenic non-protein coding RNA 1816","HGNC:52621","2p13.3"
"LOC100134317","Unmatched","","","",""
"LOC100134368","Unmatched","","","",""
"LOC100134391","Unmatched","","","",""
"LOC100134868","Unmatched","","","",""
"LOC100144595","Unmatched","","","",""
"LOC100147773","Unmatched","","","",""
"LOC100190940","Unmatched","","","",""
"LOC100190986","Unmatched","","","",""
"LOC100192426","Unmatched","","","",""
"LOC100233156","Unmatched","","","",""
"LOC100240728","Unmatched","","","",""
"LOC100240734","Unmatched","","","",""
"LOC100240735","Unmatched","","","",""
"LOC100268168","Unmatched","","","",""
"LOC100270746","Unmatched","","","",""
"LOC100270804","Unmatched","","","",""
"LOC100271832","Unmatched","","","",""
"LOC100272216","Unmatched","","","",""
"LOC100272217","Unmatched","","","",""
"LOC100286922","Unmatched","","","",""
"LOC100287010","Unmatched","","","",""
"LOC100287015","Unmatched","","","",""
"LOC100287036","Unmatched","","","",""
"LOC100287042","Unmatched","","","",""
"LOC100287072","Unmatched","","","",""
"LOC100287225","Alias symbol","LINC01630","long intergenic non-protein coding RNA 1630","HGNC:52295","18q21.2"
"LOC100287592","Unmatched","","","",""
"LOC100287632","Unmatched","","","",""
"LOC100287704","Unmatched","","","",""
"LOC100287728","Unmatched","","","",""
"LOC100287792","Unmatched","","","",""
"LOC100287834","Unmatched","","","",""
"LOC100287846","Unmatched","","","",""
"LOC100287944","Unmatched","","","",""
"LOC100288069","Unmatched","","","",""
"LOC100288123","Unmatched","","","",""
"LOC100288152","Unmatched","","","",""
"LOC100288162","Unmatched","","","",""
"LOC100288181","Unmatched","","","",""
"LOC100288254","Unmatched","","","",""
"LOC100288570","Unmatched","","","",""
"LOC100288637","Unmatched","","","",""
"LOC100288748","Unmatched","","","",""
"LOC100288778","Unmatched","","","",""
"LOC100288798","Unmatched","","","",""
"LOC100288842","Unmatched","","","",""
"LOC100288846","Unmatched","","","",""
"LOC100288866","Unmatched","","","",""
"LOC100288911","Unmatched","","","",""
"LOC100288966","Unmatched","","","",""
"LOC100289230","Unmatched","","","",""
"LOC100289333","Unmatched","","","",""
"LOC100289361","Unmatched","","","",""
"LOC100289473","Unmatched","","","",""
"LOC100289495","Unmatched","","","",""
"LOC100289511","Unmatched","","","",""
"LOC100289561","Unmatched","","","",""
"LOC100289580","Unmatched","","","",""
"LOC100289650","Unmatched","","","",""
"LOC100289656","Unmatched","","","",""
"LOC100289673","Unmatched","","","",""
"LOC100294145","Unmatched","","","",""
"LOC100294362","Unmatched","","","",""
"LOC100303749","Unmatched","","","",""
"LOC100335030","Unmatched","","","",""
"LOC100379224","Unmatched","","","",""
"LOC100419583","Unmatched","","","",""
"LOC100420587","Unmatched","","","",""
"LOC100421746","Unmatched","","","",""
"LOC100422212","Unmatched","","","",""
"LOC100422556","Unmatched","","","",""
"LOC100422737","Unmatched","","","",""
"LOC100499194","Unmatched","","","",""
"LOC100499484","Unmatched","","","",""
"LOC100499484-C9ORF174","Unmatched","","","",""
"LOC100499489","Unmatched","","","",""
"LOC100500773","Unmatched","","","",""
"LOC100505478","Unmatched","","","",""
"LOC100505515","Unmatched","","","",""
"LOC100505530","Unmatched","","","",""
"LOC100505549","Unmatched","","","",""
"LOC100505622","Unmatched","","","",""
"LOC100505625","Unmatched","","","",""
"LOC100505635","Unmatched","","","",""
"LOC100505658","Unmatched","","","",""
"LOC100505666","Unmatched","","","",""
"LOC100505715","Unmatched","","","",""
"LOC100505716","Unmatched","","","",""
"LOC100505736","Unmatched","","","",""
"LOC100505782","Unmatched","","","",""
"LOC100505795","Unmatched","","","",""
"LOC100505817","Unmatched","","","",""
"LOC100505841","Unmatched","","","",""
"LOC100505878","Unmatched","","","",""
"LOC100505887","Unmatched","","","",""
"LOC100505912","Unmatched","","","",""
"LOC100505915","Unmatched","","","",""
"LOC100505918","Unmatched","","","",""
"LOC100505920","Unmatched","","","",""
"LOC100505921","Unmatched","","","",""
"LOC100505938","Unmatched","","","",""
"LOC100505942","Unmatched","","","",""
"LOC100505978","Unmatched","","","",""
"LOC100505984","Unmatched","","","",""
"LOC100506022","Unmatched","","","",""
"LOC100506023","Unmatched","","","",""
"LOC100506071","Unmatched","","","",""
"LOC100506076","Unmatched","","","",""
"LOC100506082","Unmatched","","","",""
"LOC100506083","Unmatched","","","",""
"LOC100506085","Unmatched","","","",""
"LOC100506100","Unmatched","","","",""
"LOC100506122","Unmatched","","","",""
"LOC100506123","Unmatched","","","",""
"LOC100506124","Unmatched","","","",""
"LOC100506125","Unmatched","","","",""
"LOC100506127","Unmatched","","","",""
"LOC100506136","Unmatched","","","",""
"LOC100506142","Unmatched","","","",""
"LOC100506159","Unmatched","","","",""
"LOC100506175","Unmatched","","","",""
"LOC100506178","Unmatched","","","",""
"LOC100506188","Unmatched","","","",""
"LOC100506207","Unmatched","","","",""
"LOC100506258","Unmatched","","","",""
"LOC100506271","Unmatched","","","",""
"LOC100506272","Unmatched","","","",""
"LOC100506274","Unmatched","","","",""
"LOC100506281","Unmatched","","","",""
"LOC100506302","Unmatched","","","",""
"LOC100506314","Unmatched","","","",""
"LOC100506321","Unmatched","","","",""
"LOC100506368","Unmatched","","","",""
"LOC100506371","Unmatched","","","",""
"LOC100506384","Unmatched","","","",""
"LOC100506388","Unmatched","","","",""
"LOC100506393","Unmatched","","","",""
"LOC100506403","Unmatched","","","",""
"LOC100506406","Unmatched","","","",""
"LOC100506422","Unmatched","","","",""
"LOC100506444","Unmatched","","","",""
"LOC100506457","Unmatched","","","",""
"LOC100506470","Unmatched","","","",""
"LOC100506472","Unmatched","","","",""
"LOC100506474","Unmatched","","","",""
"LOC100506476","Unmatched","","","",""
"LOC100506497","Unmatched","","","",""
"LOC100506526","Unmatched","","","",""
"LOC100506548","Unmatched","","","",""
"LOC100506551","Unmatched","","","",""
"LOC100506585","Unmatched","","","",""
"LOC100506603","Unmatched","","","",""
"LOC100506606","Unmatched","","","",""
"LOC100506639","Unmatched","","","",""
"LOC100506675","Unmatched","","","",""
"LOC100506679","Unmatched","","","",""
"LOC100506682","Unmatched","","","",""
"LOC100506688","Unmatched","","","",""
"LOC100506700","Unmatched","","","",""
"LOC100506725","Unmatched","","","",""
"LOC100506730","Unmatched","","","",""
"LOC100506746","Unmatched","","","",""
"LOC100506747","Unmatched","","","",""
"LOC100506790","Unmatched","","","",""
"LOC100506801","Unmatched","","","",""
"LOC100506804","Unmatched","","","",""
"LOC100506834","Unmatched","","","",""
"LOC100506844","Unmatched","","","",""
"LOC100506858","Unmatched","","","",""
"LOC100506860","Unmatched","","","",""
"LOC100506869","Unmatched","","","",""
"LOC100506895","Unmatched","","","",""
"LOC100506985","Unmatched","","","",""
"LOC100506990","Unmatched","","","",""
"LOC100507002","Unmatched","","","",""
"LOC100507006","Unmatched","","","",""
"LOC100507053","Unmatched","","","",""
"LOC100507065","Unmatched","","","",""
"LOC100507073","Unmatched","","","",""
"LOC100507091","Unmatched","","","",""
"LOC100507140","Unmatched","","","",""
"LOC100507144","Unmatched","","","",""
"LOC100507156","Unmatched","","","",""
"LOC100507175","Unmatched","","","",""
"LOC100507194","Unmatched","","","",""
"LOC100507195","Unmatched","","","",""
"LOC100507201","Unmatched","","","",""
"LOC100507205","Unmatched","","","",""
"LOC100507250","Unmatched","","","",""
"LOC100507283","Unmatched","","","",""
"LOC100507291","Unmatched","","","",""
"LOC100507334","Unmatched","","","",""
"LOC100507346","Unmatched","","","",""
"LOC100507351","Unmatched","","","",""
"LOC100507373","Unmatched","","","",""
"LOC100507377","Unmatched","","","",""
"LOC100507384","Unmatched","","","",""
"LOC100507387","Unmatched","","","",""
"LOC100507388","Unmatched","","","",""
"LOC100507389","Unmatched","","","",""
"LOC100507391","Unmatched","","","",""
"LOC100507406","Unmatched","","","",""
"LOC100507412","Unmatched","","","",""
"LOC100507424","Unmatched","","","",""
"LOC100507431","Unmatched","","","",""
"LOC100507437","Unmatched","","","",""
"LOC100507443","Unmatched","","","",""
"LOC100507462","Unmatched","","","",""
"LOC100507468","Unmatched","","","",""
"LOC100507472","Unmatched","","","",""
"LOC100507477","Unmatched","","","",""
"LOC100507487","Unmatched","","","",""
"LOC100507506","Unmatched","","","",""
"LOC100507534","Unmatched","","","",""
"LOC100507537","Unmatched","","","",""
"LOC100507547","Unmatched","","","",""
"LOC100507557","Unmatched","","","",""
"LOC100507564","Unmatched","","","",""
"LOC100507577","Unmatched","","","",""
"LOC100507600","Unmatched","","","",""
"LOC100507634","Unmatched","","","",""
"LOC100507639","Unmatched","","","",""
"LOC100507642","Unmatched","","","",""
"LOC100507661","Unmatched","","","",""
"LOC100508046","Unmatched","","","",""
"LOC100630923","Unmatched","","","",""
"LOC100631378","Unmatched","","","",""
"LOC100652758","Unmatched","","","",""
"LOC100652768","Unmatched","","","",""
"LOC100652931","Unmatched","","","",""
"LOC100652999","Unmatched","","","",""
"LOC100653233","Unmatched","","","",""
"LOC100996249","Unmatched","","","",""
"LOC100996251","Unmatched","","","",""
"LOC100996255","Unmatched","","","",""
"LOC100996263","Unmatched","","","",""
"LOC100996286","Unmatched","","","",""
"LOC100996291","Unmatched","","","",""
"LOC100996324","Unmatched","","","",""
"LOC100996325","Unmatched","","","",""
"LOC100996338","Unmatched","","","",""
"LOC100996342","Unmatched","","","",""
"LOC100996349","Unmatched","","","",""
"LOC100996351","Unmatched","","","",""
"LOC100996385","Unmatched","","","",""
"LOC100996437","Unmatched","","","",""
"LOC100996447","Unmatched","","","",""
"LOC100996455","Unmatched","","","",""
"LOC100996579","Unmatched","","","",""
"LOC100996583","Unmatched","","","",""
"LOC100996634","Unmatched","","","",""
"LOC100996635","Unmatched","","","",""
"LOC100996654","Unmatched","","","",""
"LOC100996671","Unmatched","","","",""
"LOC100996679","Unmatched","","","",""
"LOC100996693","Unmatched","","","",""
"LOC100996694","Unmatched","","","",""
"LOC101054525","Unmatched","","","",""
"LOC101059948","Unmatched","","","",""
"LOC101060019","Unmatched","","","",""
"LOC101060091","Unmatched","","","",""
"LOC101060321","Unmatched","","","",""
"LOC101060385","Unmatched","","","",""
"LOC101060389","Unmatched","","","",""
"LOC101060498","Unmatched","","","",""
"LOC101060524","Unmatched","","","",""
"LOC101060542","Unmatched","","","",""
"LOC101060553","Unmatched","","","",""
"LOC101241902","Unmatched","","","",""
"LOC101243545","Unmatched","","","",""
"LOC101409256","Unmatched","","","",""
"LOC101448202","Unmatched","","","",""
"LOC101559451","Unmatched","","","",""
"LOC101593348","Unmatched","","","",""
"LOC101805491","Unmatched","","","",""
"LOC101926889","Unmatched","","","",""
"LOC101926892","Unmatched","","","",""
"LOC101926897","Unmatched","","","",""
"LOC101926898","Unmatched","","","",""
"LOC101926905","Unmatched","","","",""
"LOC101926908","Unmatched","","","",""
"LOC101926911","Unmatched","","","",""
"LOC101926913","Unmatched","","","",""
"LOC101926915","Unmatched","","","",""
"LOC101926933","Unmatched","","","",""
"LOC101926935","Unmatched","","","",""
"LOC101926940","Unmatched","","","",""
"LOC101926941","Unmatched","","","",""
"LOC101926942","Unmatched","","","",""
"LOC101926943","Unmatched","","","",""
"LOC101926944","Unmatched","","","",""
"LOC101926955","Unmatched","","","",""
"LOC101926960","Unmatched","","","",""
"LOC101926962","Unmatched","","","",""
"LOC101926963","Unmatched","","","",""
"LOC101926964","Unmatched","","","",""
"LOC101926966","Unmatched","","","",""
"LOC101926975","Alias symbol","LINC01844","long intergenic non-protein coding RNA 1844","HGNC:52660","5q31.3"
"LOC101927018","Unmatched","","","",""
"LOC101927020","Unmatched","","","",""
"LOC101927021","Unmatched","","","",""
"LOC101927023","Unmatched","","","",""
"LOC101927027","Unmatched","","","",""
"LOC101927040","Unmatched","","","",""
"LOC101927043","Unmatched","","","",""
"LOC101927045","Unmatched","","","",""
"LOC101927048","Unmatched","","","",""
"LOC101927051","Unmatched","","","",""
"LOC101927053","Unmatched","","","",""
"LOC101927055","Unmatched","","","",""
"LOC101927056","Unmatched","","","",""
"LOC101927058","Unmatched","","","",""
"LOC101927062","Unmatched","","","",""
"LOC101927066","Unmatched","","","",""
"LOC101927069","Unmatched","","","",""
"LOC101927070","Unmatched","","","",""
"LOC101927078","Unmatched","","","",""
"LOC101927079","Unmatched","","","",""
"LOC101927081","Unmatched","","","",""
"LOC101927082","Unmatched","","","",""
"LOC101927087","Unmatched","","","",""
"LOC101927100","Unmatched","","","",""
"LOC101927120","Unmatched","","","",""
"LOC101927123","Unmatched","","","",""
"LOC101927124","Unmatched","","","",""
"LOC101927131","Unmatched","","","",""
"LOC101927132","Unmatched","","","",""
"LOC101927136","Unmatched","","","",""
"LOC101927139","Unmatched","","","",""
"LOC101927142","Unmatched","","","",""
"LOC101927143","Unmatched","","","",""
"LOC101927151","Unmatched","","","",""
"LOC101927153","Unmatched","","","",""
"LOC101927156","Unmatched","","","",""
"LOC101927157","Unmatched","","","",""
"LOC101927159","Unmatched","","","",""
"LOC101927164","Unmatched","","","",""
"LOC101927166","Unmatched","","","",""
"LOC101927178","Unmatched","","","",""
"LOC101927179","Unmatched","","","",""
"LOC101927181","Unmatched","","","",""
"LOC101927188","Unmatched","","","",""
"LOC101927189","Unmatched","","","",""
"LOC101927190","Unmatched","","","",""
"LOC101927196","Unmatched","","","",""
"LOC101927204","Unmatched","","","",""
"LOC101927207","Unmatched","","","",""
"LOC101927211","Unmatched","","","",""
"LOC101927229","Unmatched","","","",""
"LOC101927230","Unmatched","","","",""
"LOC101927237","Unmatched","","","",""
"LOC101927239","Unmatched","","","",""
"LOC101927243","Unmatched","","","",""
"LOC101927244","Unmatched","","","",""
"LOC101927248","Unmatched","","","",""
"LOC101927257","Unmatched","","","",""
"LOC101927267","Unmatched","","","",""
"LOC101927269","Unmatched","","","",""
"LOC101927272","Unmatched","","","",""
"LOC101927274","Unmatched","","","",""
"LOC101927282","Unmatched","","","",""
"LOC101927284","Unmatched","","","",""
"LOC101927285","Unmatched","","","",""
"LOC101927286","Unmatched","","","",""
"LOC101927292","Unmatched","","","",""
"LOC101927296","Unmatched","","","",""
"LOC101927305","Unmatched","","","",""
"LOC101927310","Unmatched","","","",""
"LOC101927311","Unmatched","","","",""
"LOC101927314","Unmatched","","","",""
"LOC101927318","Unmatched","","","",""
"LOC101927322","Unmatched","","","",""
"LOC101927334","Unmatched","","","",""
"LOC101927342","Unmatched","","","",""
"LOC101927348","Unmatched","","","",""
"LOC101927354","Unmatched","","","",""
"LOC101927356","Unmatched","","","",""
"LOC101927358","Unmatched","","","",""
"LOC101927359","Unmatched","","","",""
"LOC101927365","Unmatched","","","",""
"LOC101927374","Unmatched","","","",""
"LOC101927378","Unmatched","","","",""
"LOC101927379","Unmatched","","","",""
"LOC101927391","Unmatched","","","",""
"LOC101927394","Unmatched","","","",""
"LOC101927406","Unmatched","","","",""
"LOC101927410","Unmatched","","","",""
"LOC101927411","Unmatched","","","",""
"LOC101927412","Unmatched","","","",""
"LOC101927415","Unmatched","","","",""
"LOC101927416","Unmatched","","","",""
"LOC101927418","Unmatched","","","",""
"LOC101927419","Unmatched","","","",""
"LOC101927421","Unmatched","","","",""
"LOC101927431","Unmatched","","","",""
"LOC101927434","Unmatched","","","",""
"LOC101927437","Unmatched","","","",""
"LOC101927438","Unmatched","","","",""
"LOC101927446","Unmatched","","","",""
"LOC101927450","Unmatched","","","",""
"LOC101927460","Unmatched","","","",""
"LOC101927464","Unmatched","","","",""
"LOC101927468","Unmatched","","","",""
"LOC101927472","Unmatched","","","",""
"LOC101927476","Unmatched","","","",""
"LOC101927478","Unmatched","","","",""
"LOC101927481","Unmatched","","","",""
"LOC101927482","Unmatched","","","",""
"LOC101927488","Unmatched","","","",""
"LOC101927495","Unmatched","","","",""
"LOC101927497","Unmatched","","","",""
"LOC101927501","Unmatched","","","",""
"LOC101927502","Unmatched","","","",""
"LOC101927523","Unmatched","","","",""
"LOC101927526","Unmatched","","","",""
"LOC101927539","Unmatched","","","",""
"LOC101927543","Unmatched","","","",""
"LOC101927549","Unmatched","","","",""
"LOC101927550","Unmatched","","","",""
"LOC101927557","Unmatched","","","",""
"LOC101927560","Unmatched","","","",""
"LOC101927571","Unmatched","","","",""
"LOC101927572","Unmatched","","","",""
"LOC101927575","Unmatched","","","",""
"LOC101927577","Unmatched","","","",""
"LOC101927580","Unmatched","","","",""
"LOC101927583","Unmatched","","","",""
"LOC101927587","Unmatched","","","",""
"LOC101927588","Unmatched","","","",""
"LOC101927592","Unmatched","","","",""
"LOC101927604","Unmatched","","","",""
"LOC101927606","Unmatched","","","",""
"LOC101927616","Unmatched","","","",""
"LOC101927619","Unmatched","","","",""
"LOC101927620","Unmatched","","","",""
"LOC101927623","Unmatched","","","",""
"LOC101927630","Unmatched","","","",""
"LOC101927636","Unmatched","","","",""
"LOC101927637","Unmatched","","","",""
"LOC101927640","Unmatched","","","",""
"LOC101927641","Unmatched","","","",""
"LOC101927650","Unmatched","","","",""
"LOC101927651","Unmatched","","","",""
"LOC101927653","Unmatched","","","",""
"LOC101927657","Unmatched","","","",""
"LOC101927661","Unmatched","","","",""
"LOC101927666","Unmatched","","","",""
"LOC101927668","Unmatched","","","",""
"LOC101927683","Unmatched","","","",""
"LOC101927686","Unmatched","","","",""
"LOC101927691","Unmatched","","","",""
"LOC101927692","Unmatched","","","",""
"LOC101927694","Unmatched","","","",""
"LOC101927697","Unmatched","","","",""
"LOC101927701","Unmatched","","","",""
"LOC101927708","Unmatched","","","",""
"LOC101927709","Unmatched","","","",""
"LOC101927730","Unmatched","","","",""
"LOC101927735","Unmatched","","","",""
"LOC101927740","Unmatched","","","",""
"LOC101927746","Unmatched","","","",""
"LOC101927755","Unmatched","","","",""
"LOC101927762","Unmatched","","","",""
"LOC101927765","Unmatched","","","",""
"LOC101927766","Unmatched","","","",""
"LOC101927768","Unmatched","","","",""
"LOC101927769","Unmatched","","","",""
"LOC101927770","Unmatched","","","",""
"LOC101927780","Unmatched","","","",""
"LOC101927787","Unmatched","","","",""
"LOC101927795","Unmatched","","","",""
"LOC101927797","Unmatched","","","",""
"LOC101927798","Unmatched","","","",""
"LOC101927811","Unmatched","","","",""
"LOC101927814","Unmatched","","","",""
"LOC101927815","Unmatched","","","",""
"LOC101927817","Unmatched","","","",""
"LOC101927822","Unmatched","","","",""
"LOC101927827","Unmatched","","","",""
"LOC101927829","Unmatched","","","",""
"LOC101927830","Unmatched","","","",""
"LOC101927835","Unmatched","","","",""
"LOC101927839","Unmatched","","","",""
"LOC101927843","Unmatched","","","",""
"LOC101927844","Unmatched","","","",""
"LOC101927845","Unmatched","","","",""
"LOC101927847","Unmatched","","","",""
"LOC101927849","Unmatched","","","",""
"LOC101927851","Unmatched","","","",""
"LOC101927854","Unmatched","","","",""
"LOC101927865","Unmatched","","","",""
"LOC101927869","Unmatched","","","",""
"LOC101927870","Unmatched","","","",""
"LOC101927876","Unmatched","","","",""
"LOC101927881","Unmatched","","","",""
"LOC101927884","Unmatched","","","",""
"LOC101927901","Unmatched","","","",""
"LOC101927905","Unmatched","","","",""
"LOC101927907","Unmatched","","","",""
"LOC101927911","Unmatched","","","",""
"LOC101927914","Unmatched","","","",""
"LOC101927915","Unmatched","","","",""
"LOC101927919","Unmatched","","","",""
"LOC101927924","Unmatched","","","",""
"LOC101927926","Unmatched","","","",""
"LOC101927932","Unmatched","","","",""
"LOC101927934","Unmatched","","","",""
"LOC101927948","Unmatched","","","",""
"LOC101927950","Unmatched","","","",""
"LOC101927954","Unmatched","","","",""
"LOC101927964","Unmatched","","","",""
"LOC101927967","Unmatched","","","",""
"LOC101927969","Unmatched","","","",""
"LOC101927972","Unmatched","","","",""
"LOC101927973","Unmatched","","","",""
"LOC101927987","Unmatched","","","",""
"LOC101928002","Unmatched","","","",""
"LOC101928008","Unmatched","","","",""
"LOC101928009","Unmatched","","","",""
"LOC101928012","Unmatched","","","",""
"LOC101928020","Unmatched","","","",""
"LOC101928030","Unmatched","","","",""
"LOC101928034","Unmatched","","","",""
"LOC101928035","Unmatched","","","",""
"LOC101928043","Unmatched","","","",""
"LOC101928048","Unmatched","","","",""
"LOC101928052","Unmatched","","","",""
"LOC101928053","Unmatched","","","",""
"LOC101928063","Unmatched","","","",""
"LOC101928068","Unmatched","","","",""
"LOC101928069","Unmatched","","","",""
"LOC101928075","Unmatched","","","",""
"LOC101928093","Unmatched","","","",""
"LOC101928100","Alias symbol","KLRK1-AS1","KLRK1 antisense RNA 1","HGNC:54868","12p13.2"
"LOC101928103","Unmatched","","","",""
"LOC101928105","Unmatched","","","",""
"LOC101928107","Unmatched","","","",""
"LOC101928118","Unmatched","","","",""
"LOC101928128","Unmatched","","","",""
"LOC101928131","Unmatched","","","",""
"LOC101928134","Unmatched","","","",""
"LOC101928135","Unmatched","","","",""
"LOC101928137","Unmatched","","","",""
"LOC101928140","Unmatched","","","",""
"LOC101928150","Unmatched","","","",""
"LOC101928161","Unmatched","","","",""
"LOC101928162","Unmatched","","","",""
"LOC101928163","Unmatched","","","",""
"LOC101928167","Unmatched","","","",""
"LOC101928168","Unmatched","","","",""
"LOC101928174","Unmatched","","","",""
"LOC101928191","Unmatched","","","",""
"LOC101928201","Unmatched","","","",""
"LOC101928203","Unmatched","","","",""
"LOC101928205","Unmatched","","","",""
"LOC101928211","Unmatched","","","",""
"LOC101928222","Unmatched","","","",""
"LOC101928226","Unmatched","","","",""
"LOC101928227","Unmatched","","","",""
"LOC101928231","Unmatched","","","",""
"LOC101928233","Unmatched","","","",""
"LOC101928241","Unmatched","","","",""
"LOC101928253","Unmatched","","","",""
"LOC101928254","Unmatched","","","",""
"LOC101928259","Unmatched","","","",""
"LOC101928266","Unmatched","","","",""
"LOC101928269","Unmatched","","","",""
"LOC101928270","Unmatched","","","",""
"LOC101928272","Unmatched","","","",""
"LOC101928273","Unmatched","","","",""
"LOC101928279","Unmatched","","","",""
"LOC101928280","Unmatched","","","",""
"LOC101928283","Unmatched","","","",""
"LOC101928295","Unmatched","","","",""
"LOC101928298","Unmatched","","","",""
"LOC101928303","Unmatched","","","",""
"LOC101928304","Unmatched","","","",""
"LOC101928306","Unmatched","","","",""
"LOC101928307","Unmatched","","","",""
"LOC101928314","Unmatched","","","",""
"LOC101928322","Unmatched","","","",""
"LOC101928323","Unmatched","","","",""
"LOC101928324","Unmatched","","","",""
"LOC101928327","Unmatched","","","",""
"LOC101928333","Unmatched","","","",""
"LOC101928335","Unmatched","","","",""
"LOC101928336","Unmatched","","","",""
"LOC101928358","Unmatched","","","",""
"LOC101928370","Unmatched","","","",""
"LOC101928371","Unmatched","","","",""
"LOC101928372","Unmatched","","","",""
"LOC101928381","Unmatched","","","",""
"LOC101928386","Unmatched","","","",""
"LOC101928398","Unmatched","","","",""
"LOC101928401","Unmatched","","","",""
"LOC101928402","Unmatched","","","",""
"LOC101928404","Unmatched","","","",""
"LOC101928414","Unmatched","","","",""
"LOC101928416","Unmatched","","","",""
"LOC101928417","Unmatched","","","",""
"LOC101928418","Unmatched","","","",""
"LOC101928435","Unmatched","","","",""
"LOC101928436","Unmatched","","","",""
"LOC101928437","Unmatched","","","",""
"LOC101928438","Unmatched","","","",""
"LOC101928441","Unmatched","","","",""
"LOC101928443","Unmatched","","","",""
"LOC101928445","Unmatched","","","",""
"LOC101928446","Unmatched","","","",""
"LOC101928449","Unmatched","","","",""
"LOC101928453","Unmatched","","","",""
"LOC101928460","Unmatched","","","",""
"LOC101928461","Unmatched","","","",""
"LOC101928471","Unmatched","","","",""
"LOC101928476","Unmatched","","","",""
"LOC101928489","Unmatched","","","",""
"LOC101928491","Unmatched","","","",""
"LOC101928495","Unmatched","","","",""
"LOC101928505","Unmatched","","","",""
"LOC101928509","Unmatched","","","",""
"LOC101928514","Unmatched","","","",""
"LOC101928516","Unmatched","","","",""
"LOC101928517","Unmatched","","","",""
"LOC101928519","Unmatched","","","",""
"LOC101928523","Unmatched","","","",""
"LOC101928525","Unmatched","","","",""
"LOC101928530","Unmatched","","","",""
"LOC101928535","Unmatched","","","",""
"LOC101928539","Unmatched","","","",""
"LOC101928540","Unmatched","","","",""
"LOC101928551","Unmatched","","","",""
"LOC101928565","Unmatched","","","",""
"LOC101928567","Unmatched","","","",""
"LOC101928569","Unmatched","","","",""
"LOC101928580","Unmatched","","","",""
"LOC101928590","Unmatched","","","",""
"LOC101928597","Unmatched","","","",""
"LOC101928600","Unmatched","","","",""
"LOC101928605","Unmatched","","","",""
"LOC101928618","Unmatched","","","",""
"LOC101928622","Unmatched","","","",""
"LOC101928626","Unmatched","","","",""
"LOC101928650","Unmatched","","","",""
"LOC101928651","Unmatched","","","",""
"LOC101928661","Unmatched","","","",""
"LOC101928663","Unmatched","","","",""
"LOC101928673","Unmatched","","","",""
"LOC101928674","Unmatched","","","",""
"LOC101928682","Unmatched","","","",""
"LOC101928694","Unmatched","","","",""
"LOC101928696","Unmatched","","","",""
"LOC101928697","Unmatched","","","",""
"LOC101928700","Unmatched","","","",""
"LOC101928708","Unmatched","","","",""
"LOC101928710","Unmatched","","","",""
"LOC101928718","Unmatched","","","",""
"LOC101928730","Unmatched","","","",""
"LOC101928731","Unmatched","","","",""
"LOC101928737","Unmatched","","","",""
"LOC101928738","Unmatched","","","",""
"LOC101928739","Unmatched","","","",""
"LOC101928748","Unmatched","","","",""
"LOC101928751","Unmatched","","","",""
"LOC101928766","Unmatched","","","",""
"LOC101928767","Unmatched","","","",""
"LOC101928769","Unmatched","","","",""
"LOC101928775","Unmatched","","","",""
"LOC101928778","Unmatched","","","",""
"LOC101928782","Unmatched","","","",""
"LOC101928786","Unmatched","","","",""
"LOC101928790","Unmatched","","","",""
"LOC101928791","Unmatched","","","",""
"LOC101928794","Unmatched","","","",""
"LOC101928796","Unmatched","","","",""
"LOC101928797","Unmatched","","","",""
"LOC101928804","Unmatched","","","",""
"LOC101928809","Unmatched","","","",""
"LOC101928812","Unmatched","","","",""
"LOC101928823","Unmatched","","","",""
"LOC101928834","Unmatched","","","",""
"LOC101928837","Unmatched","","","",""
"LOC101928841","Unmatched","","","",""
"LOC101928844","Unmatched","","","",""
"LOC101928847","Unmatched","","","",""
"LOC101928851","Unmatched","","","",""
"LOC101928855","Unmatched","","","",""
"LOC101928858","Unmatched","","","",""
"LOC101928861","Unmatched","","","",""
"LOC101928865","Unmatched","","","",""
"LOC101928880","Unmatched","","","",""
"LOC101928882","Unmatched","","","",""
"LOC101928885","Unmatched","","","",""
"LOC101928886","Unmatched","","","",""
"LOC101928891","Unmatched","","","",""
"LOC101928894","Unmatched","","","",""
"LOC101928896","Unmatched","","","",""
"LOC101928909","Unmatched","","","",""
"LOC101928911","Unmatched","","","",""
"LOC101928936","Unmatched","","","",""
"LOC101928937","Unmatched","","","",""
"LOC101928940","Unmatched","","","",""
"LOC101928942","Unmatched","","","",""
"LOC101928943","Unmatched","","","",""
"LOC101928944","Unmatched","","","",""
"LOC101928961","Unmatched","","","",""
"LOC101928973","Unmatched","","","",""
"LOC101928977","Unmatched","","","",""
"LOC101928978","Unmatched","","","",""
"LOC101928979","Unmatched","","","",""
"LOC101928988","Unmatched","","","",""
"LOC101928989","Unmatched","","","",""
"LOC101928992","Unmatched","","","",""
"LOC101928994","Unmatched","","","",""
"LOC101928995","Unmatched","","","",""
"LOC101929019","Unmatched","","","",""
